step,ee_x_b,ee_y_b,ee_z_b,radius_m,min_joint_margin,pose_err_m,manipulability,gripper
200,0.3829,-0.0,1.2121,0.9358,0.0473,0.0169,0.011524,0.035
201,0.3833,-0.0,1.2123,0.936,0.0488,0.0166,0.011707,0.035
202,0.3872,-0.0,1.2118,0.9359,0.0524,0.0127,0.011817,0.035
203,0.3899,-0.0,1.2115,0.9358,0.0549,0.0099,0.011802,0.035
204,0.3898,-0.0,1.2115,0.9358,0.0558,0.0101,0.011696,0.035
205,0.3874,-0.0,1.2118,0.9359,0.0552,0.0124,0.011526,0.035
206,0.3834,-0.0,1.2123,0.936,0.0536,0.0165,0.011318,0.035
207,0.3784,-0.0,1.2129,0.9362,0.0513,0.0215,0.0111,0.035
208,0.373,-0.0,1.2134,0.9363,0.0484,0.0269,0.010929,0.035
209,0.3688,-0.0,1.2138,0.9363,0.0458,0.0312,0.010845,0.035
210,0.3669,-0.0,1.2139,0.9363,0.0446,0.033,0.010771,0.035
211,0.3656,-0.0,1.2139,0.9362,0.0436,0.0344,0.010686,0.035
212,0.3639,-0.0,1.2139,0.9361,0.0425,0.036,0.010601,0.035
213,0.3622,-0.0,1.2139,0.936,0.0412,0.0377,0.010521,0.035
214,0.3605,-0.0,1.214,0.9359,0.0389,0.0394,0.010604,0.035
215,0.3631,-0.0,1.2137,0.9358,0.039,0.0369,0.010899,0.035
216,0.3709,-0.0,1.2129,0.9356,0.0422,0.029,0.011378,0.035
217,0.3823,-0.0,1.2118,0.9354,0.048,0.0176,0.011966,0.035
218,0.3951,-0.0,1.2102,0.9351,0.0549,0.0047,0.012532,0.035
219,0.4067,-0.0,1.2086,0.9347,0.061,0.0071,0.012997,0.035
220,0.4159,-0.0,1.2072,0.9344,0.0653,0.0164,0.013324,0.035
221,0.4223,-0.0,1.2061,0.9341,0.0673,0.023,0.013624,0.035
222,0.428,-0.0,1.205,0.9338,0.0684,0.0287,0.013911,0.035
223,0.4335,-0.0,1.2039,0.9335,0.0691,0.0343,0.014158,0.035
224,0.4384,-0.0,1.2028,0.9331,0.07,0.0394,0.014106,0.035
225,0.4385,-0.0,1.2025,0.9328,0.0686,0.0396,0.01376,0.035
226,0.4329,-0.0,1.2034,0.9329,0.065,0.0339,0.013273,0.035
227,0.4237,-0.0,1.2052,0.9334,0.0607,0.0245,0.012789,0.035
228,0.4137,-0.0,1.2071,0.934,0.0571,0.0143,0.012365,0.035
229,0.4042,-0.0,1.2088,0.9346,0.0544,0.0047,0.012022,0.035
230,0.396,-0.0,1.2102,0.9352,0.0526,0.0038,0.011763,0.035
231,0.3895,-0.0,1.2113,0.9356,0.0513,0.0103,0.011585,0.035
232,0.3849,-0.0,1.212,0.9359,0.0506,0.015,0.011482,0.035
233,0.3821,-0.0,1.2124,0.9361,0.0502,0.0177,0.011445,0.035
234,0.3811,-0.0,1.2126,0.9361,0.0504,0.0187,0.011466,0.035
235,0.3817,-0.0,1.2125,0.9361,0.051,0.0182,0.011536,0.035
236,0.3834,-0.0,1.2123,0.936,0.0521,0.0165,0.011645,0.035
237,0.3859,-0.0,1.212,0.936,0.0535,0.0139,0.011781,0.035
238,0.389,-0.0,1.2116,0.9359,0.0551,0.0108,0.01193,0.035
239,0.3923,-0.0,1.2112,0.9358,0.0567,0.0075,0.01208,0.035
240,0.3955,-0.0,1.2108,0.9357,0.0583,0.0043,0.012219,0.035
241,0.3985,-0.0,1.2104,0.9356,0.0596,0.0013,0.012338,0.035
242,0.4009,-0.0,1.21,0.9355,0.0607,0.0012,0.012432,0.035
243,0.4029,-0.0,1.2098,0.9354,0.0615,0.0032,0.012498,0.035
244,0.4042,-0.0,1.2096,0.9354,0.0619,0.0045,0.012537,0.035
245,0.405,-0.0,1.2095,0.9354,0.0621,0.0053,0.01255,0.035
246,0.4053,-0.0,1.2094,0.9354,0.062,0.0056,0.012542,0.035
247,0.4051,-0.0,1.2095,0.9354,0.0618,0.0054,0.012518,0.035
248,0.4046,-0.0,1.2095,0.9354,0.0615,0.0049,0.012482,0.035
249,0.4038,-0.0,1.2097,0.9354,0.0611,0.0041,0.01244,0.035
250,0.4029,-0.0,1.2098,0.9355,0.0607,0.0031,0.012395,0.035
251,0.4019,-0.0,1.21,0.9355,0.0603,0.0022,0.012353,0.035
252,0.4009,-0.0,1.2101,0.9356,0.06,0.0012,0.012314,0.035
