radius_m,manipulability,ee_x,ee_y,ee_z
0.7918,0.088792,0.3829,-0.631,0.7592
0.8322,0.066164,0.2154,0.4573,0.9661
0.8026,0.108918,0.559,0.6912,0.5766
0.5425,0.073151,0.4352,0.4445,0.5472
1.078,0.044977,0.0612,-0.0296,1.3319
1.0663,0.075721,-0.2379,0.1438,1.1907
0.9203,0.063944,0.9011,-0.5634,0.6932
0.1906,0.04734,0.1216,0.0683,0.2987
1.1208,0.025963,0.2018,-0.0311,1.3966
0.6773,0.107155,0.1139,0.4645,0.7313
0.6396,0.041415,0.6327,0.2806,0.7417
0.3159,0.05714,0.2559,0.2995,0.3467
0.5567,0.048156,0.2234,0.4304,0.6171
0.5777,0.041605,-0.025,0.0739,0.7535
0.9337,0.07774,0.7863,-0.4276,0.9539
0.948,0.054896,0.538,0.3819,1.1102
0.7194,0.085314,-0.0187,0.104,0.9174
1.0753,0.049727,0.5348,0.233,1.3007
0.7885,0.057716,0.3625,0.5086,0.8732
0.6068,0.080164,0.5412,0.4204,0.6344
0.9767,0.073535,-0.3139,0.3731,0.9417
0.8383,0.057381,0.6638,0.4177,0.9024
0.801,0.061373,0.8545,0.1891,0.8197
0.9337,0.059988,1.1174,-0.0763,0.7182
0.8259,0.067276,-0.0119,0.0384,1.0451
1.0327,0.039996,0.1857,-0.0718,1.3048
1.0791,0.084315,0.1378,-0.1127,1.3422
0.9146,0.050915,0.7386,0.1627,1.0622
0.8434,0.102185,0.7739,-0.0283,0.9745
0.5274,0.065898,-0.1124,-0.1783,0.5663
0.3022,0.023705,0.1246,-0.0497,0.5252
0.8633,0.085806,-0.4341,0.1761,0.7031
0.7941,0.040543,0.4476,-0.5606,0.8284
0.9237,0.07716,0.3137,0.6692,0.9094
0.5644,0.032337,0.4434,-0.1314,0.8103
0.646,0.126474,-0.3382,-0.0081,0.4033
0.9788,0.108702,-0.0949,0.2773,1.1313
0.8864,0.088363,0.0913,-0.604,0.9021
0.6666,0.071391,0.8003,0.083,0.7064
0.9016,0.092493,0.1969,0.6305,0.9103
1.0559,0.060265,-0.262,-0.1026,1.1713
0.6402,0.117572,0.9122,0.1262,0.3912
0.9277,0.084058,0.9994,0.0971,0.8758
1.0183,0.074713,0.3358,-0.6786,1.044
0.9019,0.086463,-0.4952,0.2309,0.6422
0.2433,0.068268,0.5318,0.0291,0.2325
0.5267,0.054053,0.5629,-0.3262,0.6024
0.5995,0.086463,0.5562,-0.5191,0.4504
0.2726,0.018594,0.4509,-0.123,0.4717
0.755,0.081556,0.6357,0.5954,0.5835
1.0433,0.050664,0.7226,0.5691,1.0383
0.6294,0.035098,0.5232,0.3275,0.7626
0.9414,0.034366,0.6051,-0.0156,1.1691
0.5344,0.047875,0.5932,-0.2495,0.6518
0.9667,0.034213,0.3558,0.2165,1.2186
1.0406,0.082846,0.4652,0.6228,1.0912
1.0624,0.054101,-0.0004,-0.0723,1.2982
0.561,0.031066,0.6067,-0.0932,0.7389
0.8089,0.070211,0.2256,-0.1735,1.0684
0.5736,0.086687,-0.2372,0.1523,0.42
0.6503,0.080795,0.2262,0.5477,0.6128
0.8321,0.099612,0.5941,0.2722,1.0051
0.7181,0.056383,-0.1545,-0.2819,0.767
0.6306,0.077813,0.7306,0.3109,0.6084
0.9045,0.066933,0.0022,-0.7872,0.63
0.6827,0.055897,0.4777,-0.4657,0.7515
0.8687,0.045041,-0.0444,0.0325,1.0783
0.8559,0.089293,0.8869,-0.0913,0.8933
0.4478,0.028969,0.49,-0.1642,0.6514
1.0413,0.045947,0.3918,0.289,1.2739
0.971,0.054587,-0.0703,0.3989,1.0826
1.0499,0.042925,0.0532,-0.2575,1.2702
0.7576,0.068717,0.2715,-0.2195,1.0067
0.7919,0.080731,0.2965,0.2305,1.0355
0.7929,0.08082,-0.0012,0.7197,0.3933
0.6526,0.033417,0.7123,-0.1124,0.7713
1.0213,0.034191,-0.3007,-0.5175,0.9327
0.8636,0.101965,0.6571,-0.1625,1.0487
0.9826,0.093357,-0.1059,-0.1543,1.1645
0.6886,0.090821,0.717,-0.5109,0.4862
0.7605,0.068481,-0.0341,-0.2092,0.9346
0.7225,0.034973,0.516,0.3579,0.8637
0.9911,0.088187,0.8533,0.2028,1.0723
0.84,0.072406,0.2774,-0.0567,1.1183
1.0484,0.037471,-0.4068,0.2261,1.0225
1.1784,0.010564,0.3804,0.1312,1.4473
0.5409,0.022208,0.4573,0.4198,0.5709
0.9208,0.095109,-0.2138,-0.6232,0.7359
0.8638,0.122216,0.0445,0.6538,0.7767
0.7663,0.093247,0.5618,-0.7115,0.4206
0.205,0.086489,0.2207,0.041,0.0954
0.7478,0.081117,0.8244,0.5221,0.2817
0.4544,0.055119,0.6044,-0.2992,0.441
0.9213,0.039366,-0.1463,-0.731,0.6393
0.6576,0.088624,-0.0646,-0.1837,0.8009
0.8454,0.094341,0.9465,0.3883,0.6475
0.8502,0.108017,0.301,-0.5568,0.9285
1.0054,0.107417,-0.1676,-0.4337,1.0636
0.4589,0.036394,0.1942,0.3659,0.5273
0.5291,0.139171,0.7712,0.2215,0.3217
0.9005,0.104579,-0.389,-0.3331,0.7653
