ep,step,t_ms,x,y,yaw_deg,holding,tgt_x,tgt_y,dist,lin,ang,move
0,186,18600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,187,18700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,188,18800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,189,18900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,190,19000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,191,19100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,192,19200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,0.884,0.973,0.0
0,193,19300.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,194,19400.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,195,19500.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,196,19600.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,197,19700.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,198,19800.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,199,19900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,200,20000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,201,20100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,202,20200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,203,20300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,204,20400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,205,20500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,206,20600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,207,20700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,208,20800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,209,20900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,210,21000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,0.884,0.973,0.0
0,211,21100.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,212,21200.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,213,21300.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,214,21400.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,215,21500.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,216,21600.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,217,21700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,218,21800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,219,21900.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,220,22000.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,221,22100.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,222,22200.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,223,22300.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,224,22400.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,225,22500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,226,22600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,227,22700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,228,22800.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,0.884,0.973,0.0
0,229,22900.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0001
0,230,23000.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,231,23100.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,232,23200.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,233,23300.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,0.884,0.972,0.0
0,234,23400.0,-6.2415,8.7338,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,235,23500.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0001
0,236,23600.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
0,237,23700.0,-6.2416,8.7337,-62.2,1,-6.0,-12.0,20.7352,-0.6,0.8,0.0
