step,t,a_base_lin,a_base_ang,a_ee_dx,a_ee_dy,a_ee_dz,a_grip,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,base_roll_deg,base_pitch_deg,base_yaw_deg,ee_x,ee_y,ee_z,ee_qw,ee_qx,ee_qy,ee_qz,ee_base_x,ee_base_y,ee_base_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,gripper,holding,grasp_event,drop_event,goal_x,goal_y,goal_z,reward,slope_reward,terminated,truncated,contact_force_n,q_dummy_base_prismatic_x_joint,q_dummy_base_prismatic_y_joint,q_dummy_base_revolute_z_joint,q_panda_joint1,q_panda_joint2,q_panda_joint3,q_panda_joint4,q_panda_joint5,q_panda_joint6,q_panda_joint7,q_panda_finger_joint1,q_panda_finger_joint2,qd_dummy_base_prismatic_x_joint,qd_dummy_base_prismatic_y_joint,qd_dummy_base_revolute_z_joint,qd_panda_joint1,qd_panda_joint2,qd_panda_joint3,qd_panda_joint4,qd_panda_joint5,qd_panda_joint6,qd_panda_joint7,qd_panda_finger_joint1,qd_panda_finger_joint2
20,8.0954,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
21,8.5402,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
22,8.9171,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
23,9.2801,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
24,9.6637,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
25,10.0042,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
26,10.3493,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
27,10.7079,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
28,11.0551,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
29,11.4117,0.0,0.0,0.0,0.0,0.0,1.0,0.7834,11.83674,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.74,11.40716,0.94913,0.065071,0.929438,-0.199116,0.303748,0.9566,-0.42958,0.94913,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02118,,0,0,0.0,-0.112885,-0.0,0.0,1e-06,0.693797,2e-06,-0.611643,1e-06,1.937172,0.785399,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
